slug_key,product_slug,url,category,page_type,catalog_source,target_keyword,product_title,review_count_total,review_count_active,review_count_excluded,has_reviews,sample_quote
"photo-workshops-uk/dartmoor-photography-landscape-workshop","dartmoor-photography-landscape-workshop","https://www.alanranger.com/photo-workshops-uk/dartmoor-photography-landscape-workshop","workshop (residential)","workshop","canonical_products","","DARTMOOR Photography Workshop - Landscapes - 9th - 11th Oct","3","2","1","yes","I’ve completed a wide range of courses and workshops with Alan, I’ve enjoyed all of them and I would recommend him to anyone. His time, patience and vision for photography has taken me from someone wh"
"photo-workshops-uk/dorset-landscape-photography-workshop","dorset-landscape-photography-workshop","https://www.alanranger.com/photo-workshops-uk/dorset-landscape-photography-workshop","workshop (residential)","workshop","canonical_products","","DORSET Landscape Photography Workshop Purbeck 25 - 27 Sep","4","3","1","yes","Expert individual attention focusing on composition of the photograph and best use of equipment."
"photo-workshops-uk/exmoor-photography-workshops-lynmouth","exmoor-photography-workshops-lynmouth","https://www.alanranger.com/photo-workshops-uk/exmoor-photography-workshops-lynmouth","workshop (residential)","workshop","canonical_products","","EXMOOR Photography Workshop - Sat 18 - Sun 19 Jul 2026","2","1","1","yes","I was only able to spend one day of the weekend, but Alan made me very welcome. It was my first proper workshop and I look forward to doing more in the future as I came away with lots of ideas and thi"
"photo-workshops-uk/fireworks-photography-workshop-kenilworth","fireworks-photography-workshop-kenilworth","https://www.alanranger.com/photo-workshops-uk/fireworks-photography-workshop-kenilworth","workshop (half-day)","workshop","canonical_products","","Fireworks Photography Workshop | Long Exposure | Kenilworth","5","5","0","yes","Fireworks photography. Guidance and instructions at the start of  the workshop, then Alan helped everyone as the fireworks started.  Thoroughly enjoyed the evening, great value."
"photo-workshops-uk/garden-photography-workshop","garden-photography-workshop","https://www.alanranger.com/photo-workshops-uk/garden-photography-workshop","workshop (half-day)","workshop","canonical_products","","The Art of GARDEN PHOTOGRAPHY  - Coventry -  May and July","3","3","0","yes","As a complete beginner I booked my workshop at Batford Arboretum with considerable aprehension. I needn't have worried.  Alan was very patient and explained the rudiments of manual photography in a ve"
"photo-workshops-uk/ireland-photography-workshops-dingle","ireland-photography-workshops-dingle","https://www.alanranger.com/photo-workshops-uk/ireland-photography-workshops-dingle","workshop (residential)","workshop","canonical_products","","KERRY - Southern Ireland Photography Workshop - Mar 2026","2","2","0","yes","A fabulous week with Alan in the south of France. A great variety of locations with personalised tuition."
"photo-workshops-uk/lake-district-photography-workshop","lake-district-photography-workshop","https://www.alanranger.com/photo-workshops-uk/lake-district-photography-workshop","workshop (residential)","workshop","canonical_products","","LAKE DISTRICT Photography Workshops - Jan - Mar - Sep - Nov","20","20","0","yes","Wonderful experience no matter what you ability. Excellent grounding in the basics. Enabling understanding of your camera.  It hooves you the chance to try different aspects. Skills and ideas to get y"
"photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","landscape-peak-district-photography-workshops-derbyshire","https://www.alanranger.com/photo-workshops-uk/landscape-peak-district-photography-workshops-derbyshire","workshop (1-day)","workshop","canonical_products","","PEAK DISTRICT Photography Workshops - May, Oct and Nov","10","10","0","yes","A fantastic day out to a truly magical place.  Alan was great throughout the whole day giving out lots of one to one advice and guidance which was appreciated and made me see things differently.  I wo"
"photo-workshops-uk/landscape-photography-devon-hartland-quay","landscape-photography-devon-hartland-quay","https://www.alanranger.com/photo-workshops-uk/landscape-photography-devon-hartland-quay","workshop (residential)","workshop","canonical_products","","Landscape Photography DEVON Workshops - Various Dates","4","4","0","yes","Despite absolutely appalling weather, I had an amazing weekend at Hartland Quay and its environs with Alan. His enthusiasm to capture images and learn photography in the most challenging conditions wa"
"photo-workshops-uk/landscape-photography-wales-photo-workshop","landscape-photography-wales-photo-workshop","https://www.alanranger.com/photo-workshops-uk/landscape-photography-wales-photo-workshop","workshop (residential)","workshop","canonical_products","","GOWER Landscape Photography Wales - 28 Aug - 30 Aug 2026","4","3","1","yes","I learnt so much from the 'Get Off Auto' course. The sessions were well explained with visual examples, along with a printed guide to everything that was covered. Each week's homework challenged my sk"
